"","CNPJ_FDO","DT_COMPTC","VL_TOTAL","VL_QUOTA","PATRIM_LIQ","CAPTC_DIA","RESG_DIA","NR_COTST"
"124","14508643000155",2015-10-14,152705994.86,1.315178,152698228.31,8557247.98,549450.2,"134"
"125","11060913000110",2015-10-14,3491106884.13,1.796912,3491041104.13,3941227.75,0,"607"
"126","21918988000142",2015-10-14,780887634.69,1.03085,780883075.94,0,0,"113"
"127","2296928000190",2015-10-14,1468400156.95,6.1471868,1468372718.41,15901902.74,10999804.3,"163"
"128","20734931000120",2015-10-14,146618182.27,1.010392493,146616146.38,0,0,"45"
"129","7972299000195",2015-10-14,518223630.27,1.7830228,517814431.87,6287.64,277267.1,"23977"
"130","13593438000172",2015-10-14,197643346.61,152.6341864,197629505.51,0,0,"5"
"131","7442078000105",2015-10-14,4291291188.08,3.030552437,4291217863.29,560000,2229071.94,"563"
"132","19523306000150",2015-10-14,250444246.94,1.18089435,250436792.65,0,0,"33"
"133","11492176000124",2015-10-15,873133576.71,1.6808251,873035988.91,3248370.29,1526385.92,"88"
"134","10986880000170",2015-10-15,454488618.84,1.7604479,454455830.25,0,3000,"115"
"135","12845801000137",2015-10-15,545831287.15,1.4291748,528810758.78,0,0,"42"
"136","19303793000146",2015-10-15,310662259.38,1.241342284,310655160.23,0,0,"95"
"137","11060913000110",2015-10-15,3530225839.5,1.803106,3530142225,27091767.62,25326.98,"609"
"138","20139595000178",2015-10-15,306217736.37,0.996805,306218511.15,0,0,"46"
"139","5164358000173",2015-10-15,382880869.06,2.871592,382957506.39,1816021.84,0,"145"
"140","10740670000106",2015-10-15,8827454882.35,1.695058,8831747526.71,41712178.14,9724103.65,"1255"
"141","12321826000131",2015-10-15,91894130.2,1.804005,91896227.39,0,0,"54"
"142","20139534000100",2015-10-15,134568148.34,0.963977,134568669.06,0,0,"22"
"143","14508643000155",2015-10-15,154277185.79,1.315823,154266520.47,7772155.68,6278795.38,"134"
"144","22791074000126",2015-10-15,139261224.44,0.986554,139264700.19,0,0,"17"
"145","21918953000103",2015-10-15,241824978.75,1.021008,241826286.91,0,0,"54"
"146","15154441000115",2015-10-15,298995708.28,0.975857,298811477.32,0,0,"116"
"147","10322633000170",2015-10-15,4203414299.29,1.912477,4202892489.89,34011582.53,39885064.76,"2255"
"148","19768733000107",2015-10-15,411980162.33,1.0311,411978769.16,0,0,"91"
"149","21919953000128",2015-10-15,334618865.51,0.97723,334622360.39,0,0,"56"
"150","21918988000142",2015-10-15,781771530.98,1.032009,781761112.66,0,0,"113"
"151","20216216000104",2015-10-15,94886960.18,1.1397628,94874646.87,0,0,"39"
"152","3737206000197",2015-10-15,4078439824.94,2.522409,4078330835.08,22167557.43,17825034.56,"714"
"153","14386926000171",2015-10-15,1690433647.95,1.363045,1690399384.51,5196209.38,4003459.9,"392"
"154","10740658000193",2015-10-15,3443008889.94,1.724852,3442927161.2,1648000,1922466.72,"679"
"155","7972299000195",2015-10-15,517449933.48,1.7841609,518109889.91,34566,69619.31,"23971"
"156","832435000100",2015-10-15,1244059748.89,2148.1299,1244075640.54,5952360,6551112.22,"99"
"157","11898349000109",2015-10-15,277523191.09,1.5641852,277378771.6,15533.89,18699.6,"3869"
"158","975480000106",2015-10-15,9944982871.83,20.6493431,9943479966.67,10745395.58,31821450.09,"347"
"159","13593438000172",2015-10-15,197752520.23,152.7134431,197732126.44,0,0,"5"
"160","9215250000113",2015-10-15,1101490115.88,2.1091627,1101406007.71,66863678.15,3440238.13,"526"
"161","11046645000181",2015-10-15,3496786972.67,1.714831937,3496755814.06,390957144.84,50162037.01,"18"
"162","13322205000135",2015-10-15,4137612323.6,1.647575076,4137552960.31,17052834.44,6e+07,"599"
"163","20139342000102",2015-10-15,97282095.58,1.004896,97283965.57,0,0,"21"
"164","10577503000188",2015-10-15,391267682.32,1.169756,391267203,51000,3394,"152"
"165","3256793000100",2015-10-15,4391904754.91,8.2170515,4391617470.02,31417643.29,27482746.18,"248"
"166","19523306000150",2015-10-15,252189537.44,1.189126348,252182584.09,0,0,"33"
"167","8702798000125",2015-10-15,1001955459.33,2.3796684,1001875404.91,0,0,"87"
"168","3069104000140",2015-10-15,5357282284.01,8.4830397,5356811479.63,45316291.93,42982300.66,"1323"
"169","2296928000190",2015-10-15,1465672948.23,6.15040035,1465646517.16,20703356.03,24197174.86,"163"
"170","7442078000105",2015-10-15,4171772083.55,3.053235535,4170639474.12,15825.9,152713149.29,"562"
"171","11328882000135",2015-10-15,7957549202.08,1.775348,7957501552.2,13831735.39,11923725.35,"1159"
"172","3399411000190",2015-10-15,6651642473.54,8.2455569,6651023433.03,67600593.61,44028949.87,"401"
"173","13327340000173",2015-10-15,790817489.81,1.481288497,790802230.89,0,11085140.77,"265"
"174","20734931000120",2015-10-15,148416376.69,1.017270635,148414220.57,8e+05,0,"46"
"175","3543447000103",2015-10-15,1103319195.32,11.514643,1103299015.13,0,0,"186"
"176","13077418000149",2015-10-15,6034344240.76,1.550663,6034284944.75,159391946.93,25849047.13,"811"
"177","3543447000103",2015-10-16,1103672680.08,11.518419,1103660862.61,0,0,"186"
"178","11328882000135",2015-10-16,7971894342.11,1.776129,7971856068.46,20862508.33,10009094.02,"1161"
"179","13077418000149",2015-10-16,6067422411.46,1.551461,6067371468,34908840.12,4929146.15,"811"
"180","2296928000190",2015-10-16,1459889112.12,6.153580519,1459861554.75,2398337.24,8941137.19,"163"
"181","7442078000105",2015-10-16,4170097390.99,3.052519472,4170033501.47,372149.88,0,"562"
"182","11046645000181",2015-10-16,3528421025.24,1.715725943,3528386503.63,49328563.04,19520862.24,"18"
"183","13322205000135",2015-10-16,4154181692.98,1.648666369,4154120333.67,17826811.56,4e+06,"600"
"184","13327340000173",2015-10-16,793180768.33,1.480399547,793165015.87,3300000,462639.44,"264"
"185","19303793000146",2015-10-16,310125825.44,1.23919778,310118482.23,0,0,"95"
"186","19523306000150",2015-10-16,251783253.78,1.187209572,251776085.94,0,0,"33"
"187","20734931000120",2015-10-16,153201010.13,1.015784678,153198720.53,5001293.03,0,"47"
"188","11898349000109",2015-10-16,286381191.18,1.5897781,281931074.43,31000,17110.43,"3867"
"189","7972299000195",2015-10-16,527781846.07,1.8087887,525040558.55,17225,238338.84,"23957"
"190","3256793000100",2015-10-16,4470413252.47,8.2213511,4470110010.5,92085678.49,15891054.84,"248"
"191","3399411000190",2015-10-16,6698682638.67,8.2498249,6698012801.74,56338463.79,12791727.48,"403"
"192","10986880000170",2015-10-16,453949497.28,1.7598806,453912990.24,0,396391.84,"114"
"193","11492176000124",2015-10-16,874568563.18,1.6835215,874506590.33,70123.68,50,"88"
"194","20216216000104",2015-10-16,94913699.49,1.1400725,94900426.95,0,0,"39"
"195","12845801000137",2015-10-16,545972138.78,1.4295125,590455708.55,61520000,0,"42"
"196","8702798000125",2015-10-16,1001645553.5,2.3789128,1001557299.03,0,0,"87"
"197","5164358000173",2015-10-16,383036742.8,2.872903,383020378.21,115000,226964.06,"144"
"198","3737206000197",2015-10-16,4108780736.76,2.523626,4108636006.18,31313872.58,2976395.3,"718"
"199","10322633000170",2015-10-16,4245329501.12,1.913395,4244690950.98,52601023.7,12820018.16,"2262"
"200","10740670000106",2015-10-16,8844170840.06,1.695808,8843666418.02,33048746.18,25037574.05,"1257"
"201","20139342000102",2015-10-16,97192790.58,1.003978,97195092.87,0,0,"21"
"202","19768733000107",2015-10-16,412134530.72,1.031474,412128325.59,0,0,"91"
"203","20139534000100",2015-10-16,134460399.3,0.963198,134459930.09,0,0,"22"
"204","10577503000188",2015-10-16,390964330.67,1.169094,390960263.09,1559000,1644698.86,"151"
"205","14386926000171",2015-10-16,1711927735,1.363839,1711879637.05,20499416.69,4000,"396"
"206","14508643000155",2015-10-16,153544391.24,1.31647,153528475.31,4215924.13,5029780.89,"134"
"207","10740658000193",2015-10-16,3420061464.66,1.724238,3419951235.52,213017.24,21962533.57,"677"
"208","11060913000110",2015-10-16,3532201749.57,1.803514,3532088366.4,1171356.6,23000,"611"
"209","20139595000178",2015-10-16,305729007.69,0.995206,305727259.87,0,0,"46"
"210","12321826000131",2015-10-16,91949218.82,1.805067,91950284.93,0,0,"54"
"211","22791074000126",2015-10-16,139038786.52,0.984973,139041505.3,0,0,"17"
"212","21919953000128",2015-10-16,334316742.71,0.976337,334316763.62,0,0,"56"
"213","21918953000103",2015-10-16,241914274.84,1.021378,241914030.66,0,0,"54"
"214","15154441000115",2015-10-16,297604211.93,0.971245,297399332.9,0,0,"116"
"215","21918988000142",2015-10-16,782562987.03,1.033045,782546419.89,0,0,"113"
"216","832435000100",2015-10-16,1245708296.31,2149.237675,1245709330.49,4809617.91,3817488.98,"99"
"217","975480000106",2015-10-16,9961588517.4,20.6605784,9960632830.15,31393843.07,19651242.25,"346"
"218","9215250000113",2015-10-16,1057567254.01,2.1102524,1057473984.87,18697916.51,63198989.63,"523"
"219","13593438000172",2015-10-16,197894238.96,152.8178505,197867312.26,0,0,"5"
"220","3069104000140",2015-10-16,5396376149.47,8.4874469,5395831523.3,62458820.22,26221813.12,"1325"
"221","3399411000190",2015-10-19,6717461609.08,8.2541907,6716738123.45,55837476.92,40656762.66,"403"
"222","14508643000155",2015-10-19,149929921.66,1.317117,149908143.17,965142.11,4660924.88,"134"
"223","12321826000131",2015-10-19,92004194.79,1.806128,92004370.89,0,0,"54"
"224","22791074000126",2015-10-19,138515692.69,0.981255,138516586.86,0,0,"17"
"225","20139534000100",2015-10-19,133634790.38,0.957282,133634077.72,0,0,"22"
"226","10740670000106",2015-10-19,8847420739.92,1.696741,8847204413.47,21030579.03,22358193.84,"1256"
"227","11492176000124",2015-10-19,875230612.24,1.6842631,875141791.03,250000,0,"88"
"228","13077418000149",2015-10-19,6092315063.14,1.552262,6092260224.89,25047844.4,3289545.12,"812"
"229","14386926000171",2015-10-19,1710017028.16,1.363274,1709956032.02,750147.93,1964517.62,"395"
"230","19768733000107",2015-10-19,411784752.76,1.030596,411777432.74,0,0,"91"
"231","21918988000142",2015-10-19,782955189.61,1.033556,782933197.43,0,0,"113"
"232","5164358000173",2015-10-19,383001054.07,2.87425,382971123,0,228839.56,"144"
"233","3737206000197",2015-10-19,4116188138.13,2.524953,4116008307.69,13719047.32,8507192.71,"717"
"234","3256793000100",2015-10-19,4387107163.66,8.2256313,4386783376.22,5180686.07,90834551.36,"246"
"235","7442078000105",2015-10-19,4153473889.13,3.040627299,4153407736.57,620080.91,1e+06,"562"
"236","13327340000173",2015-10-19,783254140.34,1.471542935,783237853.23,0,5181987.51,"263"
"237","20139595000178",2015-10-19,304576323.35,0.991445,304572032.4,0,0,"46"
"238","10986880000170",2015-10-19,452183419.57,1.7530184,452143070.63,0,0,"114"
"239","10322633000170",2015-10-19,4294210520.34,1.914405,4293464576.04,59405162.44,12872197.81,"2264"
"240","9215250000113",2015-10-19,1071214156.71,2.1113436,1071111949.62,27531861.56,14440710.85,"525"
"241","11898349000109",2015-10-19,287314802.62,1.5992138,283599948.08,25500,22891.79,"3864"
"242","3069104000140",2015-10-19,5401678515.64,8.4919824,5401052120.06,26954185.33,24617035.59,"1324"
"243","10740658000193",2015-10-19,3396066436.04,1.71734,3395926599.17,0,10342522.59,"676"
"244","21919953000128",2015-10-19,333540494.35,0.974062,333537587.81,0,0,"56"
"245","20216216000104",2015-10-19,94832057.38,1.139117,94818394.3,0,2500,"39"
"246","12845801000137",2015-10-19,545344118.21,1.4279489,589809885.34,0,0,"42"
"247","8702798000125",2015-10-19,997775941.24,2.3697047,997680537.09,0,0,"87"
"248","2296928000190",2015-10-19,1460365553.03,6.15678498,1460336899.89,12489637.07,12774510.97,"163"
"249","11046645000181",2015-10-19,3473395491.85,1.716617941,3473358828.08,3805566.8,60667633.34,"18"
"250","19303793000146",2015-10-19,309111614.74,1.235144201,309104043.84,0,0,"95"
"251","3543447000103",2015-10-19,1107512242.66,11.509397,1107497900.19,4701533.01,0,"187"
"252","13322205000135",2015-10-19,4154316641.95,1.64799558,4154252898.92,1828114.18,5371.45,"600"
"253","19523306000150",2015-10-19,250953223.85,1.183294769,250945858.77,0,0,"33"
"254","20734931000120",2015-10-19,155740564.93,1.01273064,155738116.25,3e+06,0,"48"
"255","11328882000135",2015-10-19,7967387006.7,1.777103,7967345025.96,9503765.15,18387751.82,"1159"
"256","832435000100",2015-10-19,1245654253.73,2150.377833,1245651765.98,2959004,3677410.24,"99"
"257","975480000106",2015-10-19,9987357841,20.6714257,9986439739.39,58809789.81,38232453.86,"349"
"258","15154441000115",2015-10-19,299429439.95,0.977139,299204040.97,0,0,"116"
"259","10577503000188",2015-10-19,388620262.73,1.162073,388611921.92,0,500,"151"
"260","11060913000110",2015-10-19,3533955643.59,1.801956,3533812018.71,5499906.46,726133.05,"611"
"261","20139342000102",2015-10-19,96967185.94,1.001638,96968568.22,0,0,"21"
"262","21918953000103",2015-10-19,241710468.45,1.020509,241708024.55,0,0,"54"
"263","7972299000195",2015-10-19,527297036.68,1.8168027,527308276.72,20292.78,277267.1,"23953"
"264","13593438000172",2015-10-19,198014384.65,152.9055561,197980872.72,0,0,"5"
"265","3256793000100",2015-10-02,3945670672.97,8.1829856,3945085442.5,113825519.04,1563944.64,"244"
"266","10986880000170",2015-10-02,456483539.74,1.7743627,456472149.16,0,0,"114"
"267","11492176000124",2015-10-02,895498257.35,1.6700793,895420562.54,146361.6,0,"88"
"268","20216216000104",2015-10-02,94063438.51,1.1356816,94055401.26,1e+05,0,"39"
"269","12845801000137",2015-10-02,485456551.23,1.4265037,527822422.2,0,0,"42"
"270","2296928000190",2015-10-02,1417490391.34,6.124661606,1417449194.22,3940031.42,13530313.58,"163"
"271","7442078000105",2015-10-02,4396263432.61,3.076974627,4396166862.46,92117.18,12577985.07,"569"
"272","11046645000181",2015-10-02,3028716955.84,1.707706564,3028657420.79,218074061.62,220428.29,"18"
"273","13322205000135",2015-10-02,4119734848.47,1.637535009,4119647596.69,9666422.21,2311000,"589"
"274","13327340000173",2015-10-02,812968004.71,1.503281675,812945661.3,0,0,"270"
"275","19303793000146",2015-10-02,313731969.02,1.253598286,313722316.16,0,0,"95"
"276","19523306000150",2015-10-02,254675492.92,1.200838259,254666373.79,0,0,"33"
"277","20734931000120",2015-10-02,65537353.2,1.024108465,65536818.16,17776872.33,0,"24"
"278","3543447000103",2015-10-02,1091264150.71,11.471295,1091244964.77,0,0,"184"
"279","11328882000135",2015-10-02,7810479497.07,1.766077,7810431852.19,33391220.47,62426475.31,"1156"
"280","13077418000149",2015-10-02,5779232015.52,1.544115,5779172666.99,28553292.99,90638991.87,"805"
"281","13593438000172",2015-10-02,196957335.13,152.0393221,196859279.96,0,0,"5"
"282","8702798000125",2015-10-02,1014084805.96,2.3967048,1014061888.3,0,0,"87"
"283","3399411000190",2015-10-02,6698513176.65,8.2110873,6697321701.1,82792277.05,6270032.33,"407"
"284","9215250000113",2015-10-02,1030401579.26,2.10048,1030371679.09,11219143.62,7538958.84,"520"
"285","19768733000107",2015-10-02,409723659.26,1.025406,409703638.01,0,0,"91"
"286","20139534000100",2015-10-02,136627397.13,0.978674,136620410.1,0,0,"22"
"287","10577503000188",2015-10-02,382133890.59,1.18686,382113631.54,1612227.04,6548.28,"150"
"288","14386926000171",2015-10-02,1652193800.65,1.354839,1652117856.78,6950671.67,785663.88,"386"
"289","14508643000155",2015-10-02,148790825.43,1.310663,148765823.22,849301.2,2308972.8,"132"
"290","10740658000193",2015-10-02,3504196636.08,1.739922,3504041792.96,0,4444337.78,"687"
"291","11060913000110",2015-10-02,3457958187.61,1.796601,3457802852.8,1309635.55,2571811.66,"603"
"292","20139595000178",2015-10-02,310077943.28,1.009316,310061732.51,0,0,"46"
"293","5164358000173",2015-10-02,381727575.14,2.860292,381784978.71,5504956.52,47133.69,"146"
"294","3737206000197",2015-10-02,3966175455.7,2.512032,3965969688.7,5172058.65,278014896.32,"699"
"295","10322633000170",2015-10-02,4155876232.78,1.904512,4155427455.37,52878905.72,28531683.29,"2218"
"296","10740670000106",2015-10-02,8648363028.54,1.686145,8652783540.28,20503144.27,119808364.65,"1252"
